min tour length; max tour length
3880; 5497
3880; 5692
3880; 5815
3880; 5411
3880; 5392
3880; 5700
3880; 5354
3880; 6043
3880; 5134
3880; 5447
3880; 5198
3880; 5132
3880; 5127
3880; 5131
3706; 5129
3653; 5178
3653; 5372
3560; 5047
3560; 5130
3560; 5276
3560; 5604
3560; 5329
3560; 5171
3542; 4886
3542; 5277
3542; 4977
3542; 5020
3542; 5127
3476; 5253
3476; 5113
3476; 4885
3476; 4856
3476; 4955
3476; 4780
3476; 4654
3476; 5042
3476; 5521
3476; 5255
3476; 5086
3476; 5030
3476; 5778
3476; 5162
3476; 5003
3476; 5000
3476; 5055
3476; 5005
3476; 4892
3476; 5182
3476; 5021
3476; 4851
3220; 4793
3220; 4769
3220; 4735
3220; 4973
3220; 4891
3220; 5276
3220; 5167
3220; 5347
3220; 5330
3160; 4913
3160; 5268
2880; 5200
2880; 5076
2880; 4817
2880; 4917
2880; 5162
2880; 5489
2880; 4732
2880; 4702
2880; 4493
2880; 5751
2880; 4829
2880; 5532
2880; 5051
2880; 4771
2855; 4774
2855; 4723
2855; 4941
2855; 4997
2855; 4900
2855; 4642
2855; 4657
2855; 4585
2855; 4425
2855; 4839
2855; 4498
2855; 4685
2855; 4423
2855; 4608
2855; 4670
2855; 4654
2855; 4527
2855; 5058
2855; 4422
2855; 4470
2855; 4332
2855; 4560
2855; 4636
2855; 4657
2855; 5033
2855; 4855
2855; 5038
2855; 5093
2855; 5428
2855; 5829
2855; 5322
2855; 4507
2855; 5254
2855; 4347
2855; 4337
2855; 5001
2855; 4469
2855; 4776
2855; 4317
2855; 4570
2855; 4331
2855; 4373
2855; 4405
2855; 4829
2855; 5105
2855; 4695
2855; 4353
2855; 4487
2855; 4659
2855; 4601
2855; 4985
2855; 5162
2855; 5439
2855; 5290
2855; 5113
2855; 5041
2855; 4478
2855; 4642
2855; 4376
2855; 4517
2855; 4483
2855; 4987
2855; 4456
2855; 4891
2855; 4303
2855; 4641
2855; 4643
2855; 4603
2855; 4609
2855; 4335
2855; 4451
2855; 4412
2855; 4482
2855; 4287
2855; 4365
2855; 4207
2855; 4732
2855; 4693
2855; 4696
2855; 4926
2855; 4382
2855; 4380
2855; 4367
2855; 4645
2855; 4635
2855; 4841
2855; 5669
2855; 4841
2855; 4754
2855; 4935
2855; 4604
2855; 4998
2855; 5481
